Applicant SSN,Credit Score,Number of Credit Accounts,Number of Derogatory Marks
602-19-8809,613,7,0
758-90-4294,549,6,2
639-23-0032,850,10,2
500-17-1714,731,2,0
896-14-6347,683,8,2
,850,7,1
832-15-5943,796,14,1
556-96-4311,790,13,3
278-90-9520,544,3,0
764-76-7117,630,10,2
268-28-3325,792,7,1
,850,5,1
009-38-3410,595,5,1
161-09-9830,850,8,1
,850,3,0
201-69-5609,850,8,0
,598,15,0
269-55-3315,819,6,2
782-44-7040,850,13,1
487-33-6082,850,12,2
623-55-1260,736,15,5
869-89-1847,850,0,0
562-53-2341,553,10,1
818-83-4927,677,14,0
234-60-5298,751,2,0
356-30-6313,593,0,0
178-57-0379,850,9,0
712-77-3845,760,4,0
562-57-8030,769,7,1
704-56-7867,679,10,3
599-03-1279,846,11,1
410-10-0360,504,8,0
170-89-0352,574,15,5
040-60-8774,693,6,0
698-69-0320,586,12,0
757-44-9658,598,0,0
322-24-3585,725,13,1
647-76-5491,488,4,0
670-39-9695,620,12,1
068-22-0229,846,9,3
139-50-6797,753,8,2
012-16-5028,850,14,2
564-22-2303,850,0,0
394-27-0357,618,3,0
019-26-9436,697,3,0
717-15-4737,530,14,1
791-76-0494,850,8,0
100-68-5855,739,0,0
577-23-6497,590,10,1
728-78-0218,647,14,4
,637,12,0
233-50-3750,743,6,1
832-26-2612,488,3,1
768-37-6003,708,6,2
409-13-3957,720,8,1
626-64-9920,840,7,1
257-78-9821,594,7,2
643-33-8840,739,9,2
077-22-1350,835,2,0
339-80-9408,738,6,1
056-28-2552,578,7,1
607-52-6237,425,10,2
241-53-6335,713,1,0
763-32-6850,686,10,3
562-92-3866,723,11,1
112-22-3003,556,8,2
362-54-8581,358,3,0
223-76-7732,531,12,4
459-18-1241,604,8,0
338-87-9066,809,11,2
463-90-9681,680,12,1
304-35-4610,552,7,0
399-54-4050,767,1,0
813-63-7573,524,7,2
854-59-7520,748,0,0
767-55-8541,561,15,2
191-66-3172,784,12,4
749-57-1611,850,6,0
113-83-3123,720,1,0
020-60-5323,745,4,1
873-29-6974,300,6,1
232-30-7672,671,3,1
093-25-0852,850,2,0
458-17-4907,722,5,0
851-57-1786,618,10,3
838-28-9882,665,15,4
096-01-9141,850,15,5
442-44-6370,842,9,1
055-66-1749,485,12,2
400-33-0680,680,2,0
281-43-0289,850,0,0
658-35-0056,619,12,2
870-99-1771,573,2,0
640-49-8584,582,9,3
890-70-7538,772,0,0
383-56-8858,850,12,2
561-34-0516,657,11,3
309-39-3845,300,11,1
401-75-6367,830,6,0
536-38-9765,736,6,0
353-53-6932,691,12,2
580-56-5135,666,6,1
206-63-9516,554,0,0
647-18-4154,504,8,0
733-54-9506,599,10,2
882-67-5321,762,6,0
620-10-9218,850,5,0
740-97-8992,850,2,0
,850,12,0
600-21-2543,800,4,0
107-95-7050,624,15,1
362-04-2778,790,15,3
327-44-8615,550,3,0
114-63-8778,644,15,3
058-92-3919,850,7,1
837-07-0095,850,11,2
484-91-8405,764,3,1
658-60-8732,799,4,0
119-21-5300,850,7,0
291-88-8844,729,13,2
345-39-0466,702,0,0
576-75-5004,843,4,0
391-70-0572,803,3,0
178-99-6305,481,13,3
325-39-3678,411,7,2
830-71-5570,815,10,3
828-55-0616,635,14,3
,542,11,3
205-05-5845,814,13,4
377-22-8605,624,3,1
,488,4,1
,543,5,0
406-59-6284,448,7,0
472-61-9746,776,7,2
,563,7,0
169-82-9041,730,11,2
361-85-5497,438,15,0
895-66-4422,657,9,0
,802,14,2
043-06-0671,553,11,3
,534,0,0
062-57-2132,709,5,0
291-94-8194,780,4,1
139-93-0845,589,15,3
030-25-4012,596,11,3
050-42-8228,300,4,1
276-60-7261,427,4,1
438-64-7298,850,4,0
863-06-8298,693,11,2
152-02-6933,550,8,2
775-99-5227,742,4,0
621-14-8155,688,1,0
517-07-7422,742,6,0
299-03-8851,850,13,0
374-58-4804,509,6,2
155-58-5265,511,0,0
895-18-4110,544,13,0
070-22-8293,660,3,1
644-08-4573,850,12,1
012-59-4155,750,11,0
165-96-9998,850,2,0
800-97-1630,723,14,1
265-12-6724,561,5,1
502-81-2367,847,0,0
059-06-7625,764,14,1
032-16-0627,685,5,1
476-35-4655,850,6,1
419-13-7208,550,4,1
871-51-7650,740,5,1
041-31-4885,835,9,3
020-63-9388,683,11,0
080-58-8251,429,3,0
497-02-4354,637,1,0
132-17-9212,371,8,2
117-39-5237,825,13,4
736-22-8487,546,15,0
123-39-4934,716,1,0
077-93-2563,732,2,0
112-64-2858,662,10,1
739-51-4530,725,11,3
224-97-8564,817,4,1
093-09-7460,791,9,0
146-40-1028,405,6,0
560-21-0207,829,3,1
160-75-8673,720,9,2
527-33-6066,683,3,1
216-39-8078,419,11,0
520-54-2006,374,15,3
551-17-0105,684,2,0
728-51-8457,418,9,1
053-88-5131,521,0,0
590-89-2313,793,1,0
,638,3,1
745-15-9057,547,9,0
508-16-0688,850,8,0
031-16-2969,682,4,0
266-41-0566,850,12,1
113-97-9195,740,2,0
112-04-9175,731,8,0
487-17-2096,771,4,1
610-50-2878,782,15,3
513-35-3244,760,8,0
748-34-7847,675,10,1
169-58-2268,850,0,0
669-13-0013,619,0,0
528-65-1818,842,9,2
806-42-1490,850,3,1
380-12-3814,770,14,4
,473,5,0
733-03-5951,803,11,2
,713,6,1
142-42-3952,646,15,4
309-23-9475,614,3,0
271-47-2040,300,2,0
,466,3,0
888-08-4557,850,1,0
242-91-6949,715,14,2
010-24-4401,850,10,0
720-76-9596,582,2,0
360-52-4169,750,8,1
844-57-6002,618,9,0
862-72-2859,680,15,0
587-11-1422,819,12,4
604-68-7627,586,2,0
644-26-0059,704,13,4
394-93-8393,665,0,0
668-42-3844,840,10,2
800-01-6893,588,10,2
,632,5,0
187-45-1944,557,2,0
104-40-4005,524,0,0
,555,3,0
457-52-1131,850,8,1
602-86-2828,809,8,2
157-17-7028,823,3,1
502-34-0633,749,13,4
220-35-8133,315,2,0
299-51-0670,763,10,1
800-33-4012,760,5,0
530-15-4840,505,5,1
071-36-8735,850,11,3
609-16-5528,759,5,1
,624,1,0
178-50-2868,787,11,1
630-41-3152,695,0,0
523-95-7947,742,10,1
869-97-9009,699,7,2
491-89-8992,626,0,0
304-82-3894,671,2,0
124-36-9008,543,3,1
847-07-3387,654,14,3
475-92-1085,471,3,0
307-33-5354,758,2,0
700-05-1033,687,8,0
388-19-6336,850,0,0
719-03-4972,725,1,0
791-27-5198,761,15,2
729-82-4379,458,0,0
080-08-5215,745,13,1
819-01-4761,535,14,3
167-03-7481,532,0,0
087-41-7266,699,13,0
337-70-2443,466,10,2
679-79-5606,300,11,2
362-73-9265,499,2,0
406-18-9414,512,7,1
801-95-1588,592,15,5
416-86-3358,836,10,0
013-84-8978,484,13,2
056-85-4285,848,6,2
781-11-4313,405,13,3
663-10-3674,695,8,1
415-74-4211,730,6,0
629-10-5779,763,11,3
634-68-8613,743,11,2
241-35-5748,672,14,3
842-23-9453,427,2,0
043-99-9831,588,0,0
,743,15,4
847-12-1725,672,2,0
384-29-3847,783,2,0
546-04-3193,590,1,0
740-75-6426,453,4,0
772-58-2795,455,1,0
133-75-9540,526,1,0
847-73-4500,850,12,4
325-52-6664,635,5,1
285-23-2059,850,10,2
750-31-0680,750,8,1
383-56-7130,664,15,0
238-75-1382,743,9,2
270-53-0767,850,5,1
776-27-0804,589,15,1
006-02-4773,514,9,1
416-26-0844,850,9,2
807-20-7823,593,7,1
846-84-5708,789,1,0
459-67-6594,706,4,0
570-18-1610,825,1,0
109-17-2932,751,7,0
002-64-4269,651,9,0
498-97-4064,647,6,0
253-57-9433,728,1,0
804-20-7790,682,8,0
220-27-5245,536,12,3
614-04-0717,810,14,0
806-32-6135,843,7,0
002-09-3414,850,7,0
414-59-2573,688,5,1
874-64-8859,850,15,3
595-93-8455,784,15,1
516-72-3121,332,1,0
412-80-0047,618,5,1
269-59-9862,599,14,2
622-68-1264,832,8,1
335-51-0438,850,6,1
194-99-8797,752,8,0
327-91-0165,659,3,1
766-85-2090,616,2,0
217-78-8541,850,1,0
524-27-2355,496,7,2
094-48-6746,690,5,0
394-72-8726,542,7,2
705-94-7837,679,11,3
481-06-3696,784,6,2
178-33-9011,547,13,2
330-15-1720,630,5,0
897-79-5695,430,1,0
791-84-1306,728,6,2
583-84-7927,566,13,0
517-80-1971,563,14,2
054-52-0154,625,6,2
304-51-4508,668,15,4
287-99-6550,641,2,0
436-51-6631,606,10,0
810-82-6242,850,8,1
411-84-0578,337,5,0
429-40-8646,850,15,1
823-65-0292,623,15,4
842-45-2932,845,9,2
459-28-9616,702,5,1
603-94-5626,779,15,4
536-74-9061,662,0,0
623-78-3285,592,10,3
052-54-4386,617,3,0
648-44-0664,466,5,1
229-35-2044,511,5,0
369-94-5915,464,7,1
394-46-6802,409,1,0
619-84-4072,600,7,1
166-99-9991,515,9,0
661-22-5213,677,10,2
821-24-3726,677,6,2
718-03-3686,850,1,0
566-26-8137,649,14,4
389-45-5180,850,9,3
170-69-3678,792,15,2
287-70-8870,850,8,1
458-89-4880,651,14,2
368-72-8916,702,15,5
060-51-5524,793,4,1
048-89-4585,736,14,4
527-05-1086,719,5,0
541-36-9910,850,6,0
479-40-5415,782,15,3
588-21-1944,815,2,0
,620,12,2
023-26-7164,560,8,0
759-10-7809,638,12,1
680-81-1123,850,0,0
332-57-0363,804,11,1
234-14-8028,694,9,1
291-21-3809,741,15,3
849-27-8901,800,12,4
213-61-8761,610,15,0
227-28-3240,819,15,0
601-63-7606,727,0,0
433-38-6294,414,7,1
036-38-8011,509,7,2
157-46-5898,631,7,2
591-38-9959,850,4,0
506-52-3752,646,2,0
388-05-6951,484,5,1
486-59-9052,737,6,1
162-12-2036,850,6,0
270-51-0025,443,12,4
271-96-1917,850,4,1
426-15-9005,625,9,1
329-41-7512,830,7,1
863-92-1766,645,9,3
490-84-4154,574,13,1
377-69-7545,684,13,3
635-02-9031,642,11,0
261-13-9584,687,0,0
110-65-8762,775,8,0
679-76-4718,850,7,1
441-28-9860,643,5,1
455-26-6141,778,11,1
475-99-3414,578,12,0
742-51-9956,850,14,1
209-84-8815,768,2,0
728-42-2408,544,4,0
196-77-9902,583,5,1
018-05-5700,728,6,1
379-88-5994,560,13,4
,414,7,0
247-22-6221,576,3,0
463-29-1451,850,0,0
028-85-9352,669,0,0
850-75-0417,711,7,1
726-11-8160,515,2,0
409-20-9400,463,13,1
335-18-4040,658,14,4
646-96-2337,442,2,0
646-18-1210,814,8,2
291-07-5298,412,12,3
194-92-0591,536,10,1
639-46-3731,810,1,0
788-54-6838,572,13,2
706-29-8209,628,3,0
086-70-7913,638,7,1
891-77-9845,544,3,1
088-72-0362,728,10,0
541-49-5064,612,1,0
444-25-6159,850,13,3
355-51-0971,503,9,3
086-84-9151,712,2,0
286-42-8215,679,4,1
827-19-2272,583,3,1
770-13-6750,850,13,0
215-66-2637,583,10,1
531-14-8683,674,2,0
354-83-0789,794,10,0
290-10-6293,622,11,3
513-63-8427,650,4,0
264-79-3529,717,2,0
599-30-9791,788,15,3
076-01-8850,757,0,0
650-03-5380,779,4,1
113-26-4187,788,8,1
781-11-7094,850,1,0
314-70-4709,480,13,4
796-78-1654,745,1,0
794-45-9133,602,10,3
384-69-0379,600,7,2
022-89-1575,381,10,2
279-44-3400,592,15,5
552-03-2271,300,9,3
155-05-2540,459,5,1
656-40-4097,850,2,0
107-52-4683,737,10,0
739-75-0803,679,0,0
099-09-5753,530,8,1
676-21-6490,781,8,0
122-79-7190,766,2,0
887-29-2229,667,2,0
254-13-3574,764,7,1
359-43-8843,850,1,0
,804,4,1
571-43-8494,632,8,1
138-31-7766,504,7,0
802-63-9564,702,0,0
064-93-8151,544,1,0
354-55-1567,850,13,2
866-68-3641,541,1,0
057-48-3630,395,6,0
705-90-5341,499,14,3
777-61-2100,573,6,2
210-15-1009,850,15,3
557-95-6147,685,15,5
141-24-9662,586,12,3
604-39-9293,850,7,2
632-29-5517,741,13,0
577-97-9853,625,2,0
689-90-5335,555,8,0
138-02-1641,690,11,3
530-16-1320,671,2,0
424-71-3453,732,5,1
249-76-0900,750,3,0
120-17-9012,791,5,1
820-65-7525,844,5,0
042-05-1685,671,15,4
621-08-8166,606,14,3
850-78-4846,594,11,0
374-70-4406,464,15,0
049-93-1336,850,15,4
482-85-5324,788,9,1
380-04-8125,825,4,1
333-18-3200,333,13,2
479-59-6805,825,6,2
344-82-1994,343,9,2
764-34-4523,420,13,4
406-50-8244,656,4,1
525-17-0712,850,1,0
805-71-3808,519,12,3
350-82-6454,518,2,0
228-97-9601,830,15,2
511-31-4694,810,1,0
815-66-0856,850,13,3
478-72-7153,636,13,0
,726,5,0
537-37-4102,493,0,0
837-56-9529,468,14,3
048-21-7834,734,12,3
292-22-5063,567,13,3
,632,1,0
625-57-2024,624,11,2
382-96-3366,835,9,0
209-41-5132,431,9,1
229-99-8490,723,3,1
153-13-2548,791,2,0
665-27-6837,668,5,1
414-58-3283,478,6,2
,613,7,1
072-86-4039,582,15,1
195-17-5949,711,11,3
444-92-4969,504,7,1
475-94-4230,675,1,0
882-74-0154,559,7,1
182-52-4811,776,15,3
638-29-6955,600,9,1
047-36-1857,850,12,4
641-59-3583,850,1,0
689-63-6379,654,9,0
050-71-1709,446,11,0
832-07-3738,631,3,0
663-35-8531,595,1,0
663-87-6909,679,8,1
786-60-1223,850,6,1
679-01-7491,706,11,0
592-99-2880,375,5,1
374-78-6869,684,15,1
115-30-4972,767,13,3
104-84-0005,563,14,1
239-78-1197,609,12,1
141-06-6604,850,4,0
215-29-8407,766,14,0
364-97-0466,510,12,0
894-88-5523,608,2,0
439-78-9849,827,15,0
205-12-5454,458,9,0
,573,2,0
222-21-6657,607,14,2
181-84-1784,604,11,2
318-02-3668,767,14,2
605-84-5689,433,10,0
252-16-5326,555,0,0
633-93-3166,509,0,0
274-98-0621,706,12,3
632-83-9233,751,15,3
350-83-1017,615,0,0
429-30-1129,850,12,1
014-59-1964,698,10,2
,850,6,2
446-68-1437,652,9,3
290-24-0190,464,13,0
465-08-4787,557,1,0
,801,9,3
,720,7,1
040-39-6465,492,1,0
210-08-9018,680,5,1
190-82-5194,532,15,3
036-58-7134,647,5,1
,579,6,0
,472,2,0
136-74-1783,695,10,0
897-93-1770,566,12,0
132-66-2234,710,2,0
143-42-8511,648,0,0
132-88-1730,850,3,1
086-42-8745,389,5,1
238-69-4440,345,14,1
653-45-5559,593,11,3
613-19-7370,763,1,0
071-63-0566,791,13,1
356-67-4888,530,6,0
361-97-3877,475,1,0
356-57-8370,629,6,2
133-88-0467,707,3,1
136-14-3230,748,6,1
856-70-7631,695,15,4
054-81-4272,850,0,0
291-77-5616,372,11,2
025-25-8892,748,6,1
638-60-8534,690,13,0
004-14-3929,674,1,0
257-76-3546,468,11,1
738-44-3302,590,13,4
849-74-3250,802,7,0
094-33-2412,300,4,0
869-11-5973,629,2,0
075-52-2402,643,2,0
896-08-9741,683,10,1
144-42-0727,645,8,1
705-47-2961,595,6,1
850-77-3220,331,2,0
110-96-6368,706,5,1
088-88-9800,772,7,1
300-96-4876,784,9,1
154-22-2161,721,15,5
584-96-6120,538,7,1
,712,1,0
790-41-4204,611,10,1
594-41-1447,850,14,1
873-06-8216,748,2,0
652-31-0316,599,12,3
341-80-8362,537,15,1
388-12-7702,614,8,1
609-08-3943,615,6,0
589-55-0004,812,13,1
456-54-7902,624,11,1
565-35-1812,406,3,1
421-16-7381,620,12,1
636-58-1638,656,7,0
865-05-1498,850,5,0
787-43-7695,778,9,1
737-98-1730,789,15,5
818-24-0121,850,14,4
447-49-7446,622,4,0
269-91-4361,850,12,1
367-78-8278,850,3,0
205-87-9570,512,8,0
,638,14,0
690-76-5815,669,6,0
612-54-9751,844,11,1
350-81-8373,794,3,0
596-04-6476,722,3,1
009-20-6393,850,3,1
340-53-0230,810,6,2
201-03-6107,617,8,1
831-05-4193,850,10,3
648-70-7140,850,6,2
001-17-3241,571,6,2
442-09-7581,713,2,0
160-22-2090,762,4,1
161-42-6831,788,14,2
581-58-4757,728,14,0
610-50-3258,427,15,3
720-42-4482,850,15,5
744-67-6018,530,9,3
139-26-3256,850,8,0
654-23-1523,781,1,0
373-60-2715,676,9,1
286-52-5251,484,13,4
488-68-6706,710,0,0
550-80-1202,568,2,0
,629,10,3
318-61-7530,807,0,0
896-52-6057,850,8,1
692-85-0018,850,10,0
100-35-9559,775,1,0
224-83-8586,722,10,3
491-80-7772,850,14,0
466-74-0522,705,0,0
435-44-6137,505,11,2
183-17-0401,631,12,4
340-50-6795,779,3,0
895-23-6039,663,10,1
236-41-8925,544,0,0
766-17-4947,845,8,2
688-20-0658,532,3,1
046-49-2140,763,10,2
196-81-7932,653,10,3
882-03-1725,487,13,1
880-13-8657,582,14,2
422-58-1970,635,4,1
,594,2,0
385-19-0560,580,0,0
839-12-4840,537,12,2
120-13-5844,605,1,0
340-15-8878,756,3,0
139-15-6636,597,7,2
349-07-1303,538,1,0
056-78-2582,541,4,0
492-35-2623,831,10,1
269-54-8402,551,6,2
835-75-6250,850,5,1
038-79-0483,603,0,0
165-42-2341,688,11,1
859-09-5186,679,2,0
553-82-3154,722,15,2
598-75-4740,550,6,1
813-14-4714,494,2,0
695-81-0947,669,8,2
870-03-2141,650,3,0
700-13-7958,713,2,0
020-76-0937,841,7,1
654-75-8398,750,0,0
800-93-0227,422,4,1
128-82-2370,850,7,1
225-85-4059,742,14,4
263-22-9339,590,6,0
131-98-0079,729,14,3
015-96-3332,703,15,2
707-90-5658,760,13,3
434-17-8801,687,14,2
465-76-6969,600,9,2
,753,11,3
870-54-1051,531,13,2
885-95-4461,553,10,3
361-12-2402,602,5,1
423-16-8273,389,6,2
428-12-9627,796,13,1
327-23-4292,706,5,0
482-61-9707,657,0,0
776-99-0123,804,10,3
719-53-0626,788,10,1
796-28-5853,598,14,0
146-52-3814,300,10,1
793-85-9906,593,7,0
135-35-2623,671,3,0
527-37-1297,658,7,0
538-71-1593,441,14,4
,618,13,4
501-69-9460,713,13,0
340-28-7953,594,14,1
746-82-3736,784,4,1
037-20-0963,605,7,2
189-55-3907,735,8,0
784-91-5739,850,1,0
379-14-6452,762,4,0
523-48-4744,756,15,3
575-63-7162,746,7,1
089-69-5624,783,11,2
186-74-6947,580,1,0
732-25-6398,676,13,3
642-69-1055,606,3,0
010-52-2211,496,0,0
,702,7,2
135-33-4245,392,4,0
590-23-9623,850,2,0
461-72-5091,850,7,1
309-33-6305,515,15,0
548-91-5922,784,9,2
528-72-4687,792,0,0
,794,14,3
,644,8,2
083-56-1825,532,7,1
043-64-7965,300,11,2
333-68-1121,850,13,4
,576,3,0
112-69-8116,818,8,1
436-09-4403,678,14,0
677-47-3590,820,13,3
080-96-9669,733,13,1
792-61-9680,810,12,2
056-37-9826,599,8,0
874-01-9138,339,6,0
110-85-0861,491,9,0
325-79-5379,724,12,3
440-07-3519,849,7,1
315-90-1412,651,3,1
491-63-8920,845,4,0
842-67-6920,514,10,2
698-37-2684,825,15,3
337-60-1670,525,12,1
309-46-1117,412,1,0
128-64-6302,628,13,2
748-57-5988,639,8,0
011-23-4782,500,0,0
667-32-3680,629,2,0
815-96-5232,675,5,1
668-20-7528,644,5,0
285-70-0570,646,6,2
271-76-5270,678,9,2
805-75-7197,732,0,0
774-90-5109,464,8,0
212-57-8010,467,9,1
150-88-9318,809,8,2
550-78-8070,850,9,0
069-37-2291,584,7,2
303-07-0950,627,8,1
744-73-4076,693,11,1
708-87-0295,533,12,1
739-55-5623,694,13,2
,657,10,0
658-71-0157,811,8,1
110-47-9615,850,12,1
640-78-7666,712,11,2
034-36-8431,607,1,0
085-32-8188,803,13,3
452-24-5516,571,2,0
116-67-4376,510,5,0
796-96-0731,726,10,0
303-75-1834,828,3,1
280-27-9943,657,12,1
509-34-2407,639,5,0
278-15-5426,850,10,2
595-18-4183,677,2,0
625-13-1868,692,13,2
129-84-5667,466,0,0
075-81-7058,443,5,1
338-27-7293,839,5,1
626-80-0103,850,4,0
734-39-2111,666,8,0
235-96-2681,780,0,0
347-49-6890,669,0,0
425-43-6162,692,14,0
398-62-4374,642,6,0
099-26-4270,722,11,3
115-43-1381,828,7,1
118-16-2874,737,3,0
410-39-5141,643,1,0
610-18-6074,571,14,3
087-11-6759,403,8,1
897-10-1352,550,14,1
483-55-2417,300,11,1
071-15-7533,577,15,4
898-63-4877,843,11,0
423-17-2793,630,11,1
,653,4,1
254-88-5826,647,2,0
,668,11,0
213-69-8921,850,1,0
360-22-0617,484,4,0
504-85-3792,499,7,2
638-64-4277,819,6,2
041-86-8737,751,8,0
856-22-4059,541,7,2
139-30-7583,753,3,0
856-16-8757,685,5,1
145-56-7560,850,4,0
,684,6,0
114-13-6025,459,14,2
622-39-9368,644,13,0
167-66-1057,757,7,1
431-86-6063,850,12,4
365-78-3497,717,9,3
484-66-1252,818,14,4
804-81-2428,570,0,0
205-06-6829,589,14,2
788-10-8874,847,15,2
280-27-9569,669,10,2
438-63-7985,763,14,4
895-69-1346,706,7,0
659-38-5161,606,13,0
553-18-1778,504,8,2
025-25-1707,778,4,0
844-62-4725,669,7,2
570-18-1301,674,5,0
216-44-2209,632,7,0
124-94-5993,618,10,2
226-94-8111,747,13,0
201-53-2242,550,9,3
118-08-4932,316,5,1
297-10-1002,841,14,4
668-24-8847,731,14,3
251-45-7765,591,11,1
851-34-8292,675,11,3
158-53-8505,832,9,1
113-08-0148,462,2,0
145-33-0179,627,12,3
380-85-4104,497,9,3
362-94-7941,850,9,1
533-96-6387,381,6,1
414-59-7651,850,3,1
864-01-8779,695,3,0
681-27-1837,491,0,0
031-35-1687,610,14,0
244-69-6622,676,1,0
885-73-3783,654,8,1
145-23-0416,692,7,1
776-69-9772,328,4,1
466-72-6418,795,15,3
116-23-8250,664,13,1
587-80-5246,733,11,1
292-43-4266,588,5,0
618-99-6317,663,3,1
822-40-5008,789,10,0
210-22-3894,737,0,0
298-83-8744,597,2,0
638-04-4597,601,7,2
680-79-1777,726,7,1
702-70-2830,563,14,3
792-82-9775,666,15,3
859-90-1181,752,5,1
091-72-4143,747,7,1
517-88-7693,616,2,0
226-74-6922,601,10,1
866-40-2223,585,4,0
236-21-7932,670,1,0
007-99-4865,555,12,3
527-70-7970,372,9,2
870-93-3649,727,7,0
002-16-0814,835,14,3
562-93-5171,562,11,2
169-45-0248,640,1,0
535-35-5336,850,2,0
097-79-1315,820,15,5
622-46-2787,619,15,0
776-33-0789,581,6,0
386-44-7406,828,14,1
536-02-8624,850,14,1
550-25-4271,569,15,2
277-17-9788,742,5,1
390-17-1615,700,15,2
321-87-9074,464,5,0
098-27-9861,304,0,0
171-76-1826,567,7,2
384-04-1711,466,3,1
085-43-6361,621,5,1
046-09-3019,445,5,1
423-99-8031,665,10,0
320-84-9842,628,3,0
259-74-8259,678,5,1
301-31-6484,843,11,0
794-11-1152,850,6,1
262-69-9696,681,14,3
554-11-8894,711,14,0
542-77-5336,615,4,1
,513,2,0
325-71-4571,652,14,4
018-63-6252,662,0,0
507-88-3181,690,5,1
071-25-7869,648,6,0
640-79-5542,733,15,4
623-20-6509,560,15,4
284-24-5165,608,8,0
578-25-1870,576,13,0
,850,5,1
002-69-6176,790,12,3
280-88-4045,850,1,0
114-91-9792,571,13,4
285-21-3823,813,3,0
141-34-2027,560,3,1
657-79-5453,630,8,0
614-97-2615,789,7,0
474-88-5208,850,9,3
025-10-4534,609,1,0
,403,14,0
561-16-9847,790,12,4
140-63-6922,594,11,2
121-64-4156,813,15,4
458-76-7967,809,8,0
178-08-4763,478,0,0
354-40-0718,686,13,1
365-49-8428,786,7,1
143-83-5520,700,1,0
799-21-4746,300,12,3
749-15-9586,557,9,3
084-14-5297,823,5,0
620-14-4405,850,8,0
065-02-9247,683,6,2
147-92-0503,638,2,0
037-02-2901,779,13,0
427-71-1228,532,12,1
121-43-2189,767,9,1
104-16-2412,850,5,0
825-01-1218,706,10,1
110-92-6380,800,12,0
186-04-1379,664,0,0
410-77-9830,727,6,2
,738,14,4
046-73-5353,520,6,0
228-38-5932,772,7,0
731-53-8953,547,9,1
185-89-6571,850,4,0
042-47-4426,514,9,1
485-95-8577,786,10,3
289-83-9327,464,1,0
191-12-0296,552,3,0
024-57-0145,850,11,2
551-03-9198,657,13,1
342-04-5763,523,10,0
089-01-3862,732,5,1
262-88-8722,572,11,1
527-82-9460,451,4,1
608-89-8472,581,9,0
531-94-2624,748,4,0
818-41-6809,480,13,3
155-53-3455,615,14,3
253-23-2029,726,6,1
023-77-4465,300,10,0
558-99-1766,477,8,0
340-11-8352,595,8,0
,850,12,0
667-26-8676,719,15,3
001-11-7995,683,1,0
191-86-3964,808,6,2
089-10-2128,702,14,0
561-04-2114,431,2,0
268-26-3309,518,7,0
013-64-4686,771,5,0
233-58-6867,403,11,1
614-48-5017,750,13,0
709-28-2762,776,7,0
804-26-7421,656,5,1
475-26-6299,793,6,2
158-05-8824,783,1,0
162-79-1812,731,10,1
524-46-9435,850,9,0
664-38-2983,752,5,0
,695,12,1
661-51-6809,674,14,1
100-48-3618,656,11,2
664-04-0071,640,8,0
762-33-0849,598,11,1
502-58-0885,606,3,1
598-04-0447,756,12,0
775-45-5234,664,12,4
864-73-3209,816,3,0
323-18-1622,514,9,0
681-68-1595,609,9,1
791-39-8428,646,2,0
424-95-6188,850,5,0
878-63-2698,843,6,0
612-81-4682,503,9,2
215-82-5244,652,3,1
643-44-0574,657,4,0
675-54-8772,716,0,0
396-96-5245,719,13,1
034-24-4688,797,4,0
587-31-7958,850,8,0
,627,11,3
691-84-3467,850,5,0
348-53-2974,641,10,2
,515,7,1
239-98-6098,850,13,3
071-44-0691,520,12,1
874-72-1227,597,14,2
832-68-4777,749,11,1
132-59-0862,703,0,0
690-73-4738,760,2,0
265-78-1736,560,10,1
492-04-5675,573,9,0
444-52-4768,723,13,2
866-91-1269,657,12,2
271-34-7128,732,1,0
538-65-3545,566,8,0
236-15-5496,644,4,0
643-69-5180,850,3,1
661-32-8027,557,11,2
629-62-7336,410,5,1
485-96-8723,586,7,2
422-21-3421,679,9,0
410-09-5417,772,15,5
466-74-4012,591,14,1
607-81-7358,450,13,0
240-27-8674,522,3,0
189-65-2340,742,10,2
615-90-6557,680,7,0
333-33-5143,612,14,3
665-40-1512,546,13,4
509-34-6241,773,7,0
317-40-4525,603,9,1
350-74-6663,671,3,0
,687,12,4
252-37-4038,563,0,0
582-83-2094,794,9,3
726-13-9863,436,14,3
847-69-0126,815,14,4
724-28-4902,571,14,1
272-09-1766,557,0,0
717-36-3481,319,10,0
453-64-3500,850,15,3
187-82-3881,782,14,1
651-84-8120,589,12,0
321-67-0766,807,1,0
866-14-9934,815,14,2
581-73-2723,553,15,2
704-30-6928,572,5,1
438-41-4750,549,9,0
261-49-7125,850,0,0
554-03-4515,699,10,2
243-10-8078,716,7,2
638-89-6270,629,4,0
564-33-1217,632,10,3
581-89-0536,588,15,3
710-96-0760,627,14,0
572-71-5096,850,5,0
051-02-2279,704,15,1
420-39-9469,827,3,1
638-60-7860,371,9,2
340-81-1241,850,13,4
365-08-2431,606,13,4
538-12-3529,761,6,1
605-22-1377,799,3,1
104-45-8086,656,4,0
,318,3,1
866-36-4632,554,15,4
004-95-6242,804,11,0
590-76-7905,677,6,2
644-88-0897,717,11,1
013-80-3809,657,1,0
150-74-8275,535,5,0
086-79-6995,551,6,1
244-98-2391,626,2,0
611-59-7446,742,1,0
619-72-5220,599,10,0
540-10-2511,819,3,1
371-66-4803,533,9,2
299-88-0785,627,12,1
807-01-5653,469,6,2
794-72-8670,850,5,1
424-69-6299,595,1,0
634-21-3302,748,4,1
126-45-6689,850,6,2
445-02-6887,770,1,0
722-72-3257,604,10,3
